regione,pensioni_osservate,pensioni_attese,popolazione,eta_media,tasso_grezzo_per_1000,coefficiente_standardizzato_per_1000
Valle d'Aosta,41248,46105.1,122554,75.9,336.57,322.66
Trentino-Alto Adige,330537,364792.3,1090818,75.8,303.02,326.79
Sicilia,1513886,1637172.0,4775194,72.6,317.03,333.5
Liguria,596436,637170.9,1511988,75.8,394.47,337.6
Lazio,1876594,2000668.4,5709444,73.4,328.68,338.29
Toscana,1350324,1422743.2,3659222,75.7,369.02,342.3
Veneto,1712439,1771454.2,4857460,74.8,352.54,348.64
Sardegna,597532,613974.0,1554490,73.6,384.39,351.0
Piemonte,1613592,1652976.5,4255006,75.4,379.22,352.06
Friuli-Venezia Giulia,468097,476478.6,1193496,75.7,392.21,354.31
Abruzzo,470622,477889.9,1267222,74.4,371.38,355.17
Campania,1719157,1742595.5,5568703,72.0,308.72,355.8
Lombardia,3488543,3529247.5,10065694,74.8,346.58,356.49
Molise,112494,112321.6,285940,74.9,393.42,361.21
Basilicata,200019,197372.7,525281,74.2,380.78,365.49
Emilia-Romagna,1663593,1631823.3,4477009,75.3,371.59,367.68
Puglia,1433938,1387336.6,3865277,72.9,370.98,372.77
Marche,600876,571820.5,1479832,75.0,406.04,378.98
Umbria,363773,338379.4,850627,75.1,427.65,387.72
Calabria,718745,645668.9,1827571,72.2,393.28,401.47
